Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,st_dev,no_days
18/04/2014,130.93,131.0,130.2,130.37,34387,299266,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130370,1.0947766895652833,5029
21/04/2014,130.4,130.63,130.22,130.27,15764,304328,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130270,1.0947766895652833,5030
22/04/2014,130.41,130.44,130.13,130.29,39830,306032,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130290,1.0850956947118455,5031
23/04/2014,130.43,130.74,130.42,130.56,40034,313799,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130560,1.1054956656098622,5032
24/04/2014,130.45,130.68,130.23,130.54,41738,311003,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130540,1.1260494364586628,5033
25/04/2014,130.75,130.99,130.72,130.78,37704,313646,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130780,1.1170947438253573,5034
28/04/2014,130.67,130.79,130.38,130.7,37998,320091,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130700,1.1144934574425593,5035
29/04/2014,130.29,130.54,130.15,130.49,39732,320387,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130490,1.0970639604640038,5036
30/04/2014,130.41,130.99,130.3,130.96,52738,323676,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130960,1.0984243260305486,5037
01/05/2014,130.89,131.27,130.76,131.22,31816,323694,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131220,1.1118824878027185,5038
02/05/2014,131.12,131.46,130.52,131.36,75368,330857,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131360,1.1183869336455379,5039
05/05/2014,131.43,131.53,131.13,131.15,30621,326864,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131150,1.0898941844734769,5040
06/05/2014,131.12,131.22,130.94,131.1,43415,326276,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131100,1.037669664849629,5041
07/05/2014,131.17,131.28,130.95,131.09,59514,332551,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131090,0.8989757134367891,5042
08/05/2014,131.02,131.33,130.95,131.19,57836,331428,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131190,0.7260881489295149,5043
09/05/2014,131.14,131.3,131.08,131.21,42898,333409,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131210,0.5677740160920125,5044
12/05/2014,131.07,131.12,130.74,130.79,37195,332033,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130790,0.37286637465622935,5045
13/05/2014,130.9,131.25,130.86,131.19,46961,331073,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131190,0.3497675418750196,5046
14/05/2014,131.53,132.06,131.49,131.96,67740,336514,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131960,0.3868255420935708,5047
15/05/2014,131.97,132.57,131.88,132.19,65675,345951,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,132190,0.45891974608785246,5048
16/05/2014,132.24,132.35,132.08,132.19,38579,338903,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,132190,0.5212644882232905,5049
19/05/2014,132.24,132.35,132.08,132.17,38579,338903,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,132170,0.5660291512069313,5050
20/05/2014,132.14,132.26,131.88,132.16,45242,337519,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,132160,0.6064189970771476,5051
21/05/2014,132.03,132.03,131.66,131.84,61441,352012,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131840,0.6216108107297251,5052
22/05/2014,131.74,131.84,131.49,131.57,131317,343754,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131570,0.6246190839352216,5053
23/05/2014,131.57,131.86,131.51,131.72,212205,305756,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,131720,0.6104457387975575,5054
26/05/2014,134.99,135.08,134.64,134.73,42254,215566,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134730,0.9013323471484656,5055
27/05/2014,134.67,135.11,134.67,135.06,145665,293434,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,135060,1.1308872622928607,5056
28/05/2014,135.22,136.11,135.17,136.09,76254,317000,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,136090,1.4227965420313402,5057
29/05/2014,136.17,136.25,135.61,135.8,57245,304355,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,135800,1.6033914057448473,5058
30/05/2014,135.66,135.95,135.56,135.84,57791,301377,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,135840,1.7517417998523273,5059
02/06/2014,135.7,135.76,135.04,135.22,68709,307033,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,135220,1.819124514709376,5060
03/06/2014,135.03,135.09,134.57,134.67,60388,299849,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134670,1.827225401170685,5061
04/06/2014,134.71,134.83,134.36,134.48,50461,290604,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134480,1.8328995244375614,5062
05/06/2014,134.59,134.91,134.15,134.68,62889,286792,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134680,1.8455351527448194,5063
06/06/2014,134.8,135.22,134.67,134.84,55496,289434,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134840,1.8590309303550925,5064
09/06/2014,134.68,134.81,134.54,134.72,33017,280504,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134720,1.8483100389320508,5065
10/06/2014,134.73,134.77,134.44,134.56,45416,285837,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134560,1.8184922325974007,5066
11/06/2014,134.55,134.83,134.46,134.58,45308,280424,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134580,1.7769801161944647,5067
12/06/2014,134.49,135.1,134.43,135.04,52726,284859,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,135040,1.7423379886474137,5068
13/06/2014,134.86,135.06,134.5,134.97,43491,278852,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,134970,1.6914941127153453,5069
