Date,PX_CLOSE_1D,near,far,FX_TO_USD,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-12-20,67.655,67.655,67.795,0.6485,0.7831569659525821,1.16,0.67655,1000.0,676.55,784.7979999999999,508.9415029999999,7.078838828796465,121375.37137500013,238.48589800506042,168.82032349186153,169,169.0,3.0,67.785,-252.91499999999115,-13994.629999999508,-14247.5449999995,9695782.16500001,169,166,3
2017-12-21,68.165,68.165,68.295,0.6485,0.8212803520438807,1.2,0.6816500000000001,1000.0,681.6500000000001,817.9800000000001,530.4600300000001,6.5182039483881535,121197.27706250013,228.47579498591082,148.9251828988286,149,149.0,-20.0,67.655,-6614.700000000065,55894.21500000056,49279.515000000494,9745061.68000001,149,169,-20
2017-12-22,68.165,68.165,68.295,0.6485,0.8630673496237679,1.27,0.6816500000000001,1000.0,681.6500000000001,865.6955000000002,561.4035317500001,6.701851258896343,121813.27100000014,216.97988008783153,145.41668825218113,145,145.0,-4.0,68.165,-0.0,0.0,0.0,9745061.68000001,145,149,-4
2017-12-25,68.205,68.205,68.325,0.6485,0.9163613279268592,1.34,0.68205,1000.0,682.0500000000001,913.9470000000001,592.6946295,6.359095071516115,121813.27100000014,205.52450610656348,130.69498738580313,131,131.0,-14.0,68.165,-363.1599999999277,3761.299999999251,3398.1399999993237,9748459.82000001,131,145,-14
2017-12-26,68.415,68.415,68.535,0.6485,0.968585867809262,1.42,0.68415,1000.0,684.1500000000001,971.493,630.0132105,6.493035290764966,121855.74775000013,193.41776603905058,125.5868380752477,126,126.0,-5.0,68.205,-680.9250000000258,17840.235000000677,17159.310000000653,9765619.13000001,126,131,-5
2017-12-27,68.585,68.585,68.715,0.6485,1.0174464359298865,1.48,0.68585,1000.0,685.8499999999999,1015.0579999999999,658.2651129999999,7.198013840540013,122070.23912500014,185.44236465559152,133.4816707413416,133,133.0,7.0,68.415,771.7149999999432,13890.869999998979,14662.584999998922,9780281.71500001,133,126,7
2017-12-28,68.505,68.505,68.635,0.6485,1.0357918468429683,1.51,0.6850499999999999,1000.0,685.05,1034.4254999999998,670.8249367499999,7.392632756622579,122253.52143750012,182.24355527060712,134.72596763768476,135,135.0,2.0,68.585,-103.75999999999779,-6900.039999999853,-7003.79999999985,9773277.915000008,135,133,2
2017-12-29,68.505,68.505,68.635,0.6485,1.0641300437382248,1.55,0.6850499999999999,1000.0,685.05,1061.8274999999999,688.5951337499998,7.600916684845505,122165.97393750011,177.4133564845282,134.8504141417694,135,135.0,0.0,68.505,0.0,0.0,0.0,9773277.915000008,135,135,0
2018-01-01,68.305,68.305,68.44,0.6485,1.07904869367402,1.58,0.68305,1000.0,683.0500000000001,1079.219,699.8735215,8.05373245100644,122165.97393750011,174.55435901570982,140.58141056694507,141,141.0,6.0,68.505,-778.1999999999557,-17509.499999999003,-18287.69999999896,9754990.21500001,141,135,6
2018-01-02,67.775,67.775,67.905,0.6485,1.081997573928081,1.6,0.6777500000000001,1000.0,677.7500000000001,1084.4000000000003,703.2334000000002,7.558865668882127,121937.37768750012,173.3953161034446,131.06719020392916,131,131.0,-10.0,68.305,3437.050000000007,-48462.4050000001,-45025.35500000009,9709964.860000009,131,141,-10
