,AD1,RX1
2021-07-09,983.8559245982692,437.32328278254806
2021-07-12,973.3476914629939,418.8699008196158
2021-07-13,938.3004050382162,438.1656692969772
2021-07-14,954.8025099696171,419.11568150169444
2021-07-15,944.3481397618814,414.36344532631415
2021-07-16,943.6976631232267,416.78990663913925
2021-07-19,869.2573708035816,419.56106609741175
2021-07-20,861.1930376879172,416.9186064693909
2021-07-21,864.889730937455,359.1262804851048
2021-07-22,868.8640212366437,389.0040884574599
2021-07-23,801.1509373300894,377.6189084418796
2021-07-26,797.2869920936283,373.8999093886635
2021-07-27,792.9626655224703,412.7513689315473
2021-07-28,803.7636397592798,394.1602858567701
2021-07-29,818.7614632051836,394.91959640542655
2021-07-30,786.0465688291839,386.5683016068659
2021-08-02,807.8216000749039,404.364899969248
2021-08-03,808.337768564112,402.7580652237448
2021-08-04,800.1349951416937,401.45878549969154
2021-08-05,846.1440974866177,402.65728187727115
2021-08-06,817.8323850464717,397.57721356490157
2021-08-09,792.013893676423,396.51599516244244
2021-08-10,768.7992601445908,380.4595265684317
2021-08-11,845.6185799743242,388.3414124431622
2021-08-12,839.5124401163687,406.68349778312506
2021-08-13,817.6013686415273,406.9523693038568
2021-08-16,831.9475247610027,404.2087590131707
2021-08-17,819.8745291512237,403.1199143858611
2021-08-18,788.8893756294211,438.70250826690756
2021-08-19,795.6241755193525,440.28551786884515
2021-08-20,800.4338469002807,440.93852869725896
2021-08-23,813.6274460388682,451.12018255940467
2021-08-24,861.7421717770372,451.9162409144687
2021-08-25,884.1816660661459,457.1797865807382
2021-08-26,919.087170503334,460.2671298578548
2021-08-27,918.6766368162323,487.39946958996063
2021-08-30,927.3357136808017,537.2856682253529
2021-08-31,959.3926800725837,494.5529886326413
2021-09-01,956.7930142894501,495.3954489476548
2021-09-02,963.6212576502058,504.02792043435153
2021-09-03,941.2502608286038,509.9962234207376
2021-09-06,968.4276863545108,484.3781010283661
2021-09-07,968.8416903667115,486.04439686252226
2021-09-08,957.6877185953194,496.8390605458765
2021-09-09,930.7201976600226,503.43501089685003
2021-09-10,983.3971844755893,509.77013997968953
2021-09-13,965.8421247070381,508.32751289943434
2021-09-14,980.2347598058092,547.3743681231823
2021-09-15,930.7356833591559,542.5293063018149
2021-09-16,887.4567613268356,550.440723277822
2021-09-17,890.7969489132195,551.1086570642725
2021-09-20,870.3643733519253,548.2918846704638
2021-09-21,862.6930241783039,533.252774753616
2021-09-22,823.0317639061102,514.6504076299204
2021-09-23,847.3855234279243,515.3706758727423
2021-09-24,835.2485661936671,523.3174035292088
2021-09-27,821.3681018307481,523.0215309491168
2021-09-28,789.2187246124732,522.8264051007749
2021-09-29,776.9677986933007,538.409895433938
2021-09-30,725.2620430644254,501.83928778500893
2021-10-01,731.7238865206002,487.8005687254036
2021-10-04,714.1846947154492,439.91178903772135
2021-10-05,663.5529097063234,440.7332350579064
2021-10-06,771.4587585506818,442.0503968321514
2021-10-07,711.271474348016,445.33672619132824
2021-10-08,693.3126744668958,442.10833198745604
2021-10-11,666.9584750989985,446.67901549438164
2021-10-12,665.9360262213478,440.63070037289964
2021-10-13,656.4887916765947,430.8792215424469
2021-10-14,674.4832475871425,436.03103070128236
2021-10-15,634.9717393202429,464.6494406764629
