Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
08/08/1994,104.0313,104.2813,103.9688,104.1563,50451,234166,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104156,104.1563,103.1875,0.8453976046849072,2504,,0.002,,1,rates
09/08/1994,104,104.0938,103.6875,103.9375,75716,230745,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103938,103.9375,102.9688,0.833882251883912,2505,,0.002,,1,rates
10/08/1994,103.8438,104.0625,103.7188,104,73383,223643,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104000,104,103.0313,0.8212032746770576,2506,,0.002,,1,rates
11/08/1994,104.0938,104.2813,103.375,103.625,104527,227219,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103625,103.625,102.6563,0.817290681422665,2507,,0.002,,1,rates
12/08/1994,103.4063,104.3125,103.3125,104.1563,121961,220008,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104156,104.1563,103.1875,0.7621488437352661,2508,,0.002,,1,rates
15/08/1994,104.1563,104.1875,103.9688,104.0625,29419,218849,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104063,104.0625,103.0625,0.6685468660513022,2509,,0.002,,1,rates
16/08/1994,104.0625,104.9375,104,104.9063,113707,212206,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104906,104.9063,103.9375,0.611030819277585,2510,,0.002,,1,rates
17/08/1994,105.2188,105.4063,105.0313,105.125,90298,207841,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105125,105.125,104.1563,0.5588279313948584,2511,,0.002,,1,rates
18/08/1994,104.75,104.9688,104.25,104.25,103074,202253,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104250,104.25,103.2813,0.5566984059977101,2512,,0.002,,1,rates
19/08/1994,104.4063,104.5,104.0938,104.3438,64724,200826,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104344,104.3438,103.3438,0.5525612622811403,2513,,0.002,,1,rates
22/08/1994,104.1563,104.4063,104,104.0625,59907,200885,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104063,104.0625,103.0313,0.5557340403229984,2514,,0.002,,1,rates
23/08/1994,104.25,104.5,104,104.3125,55245,193156,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104313,104.3125,103.25,0.5437511260742846,2515,,0.002,,1,rates
24/08/1994,104.4375,104.9063,104.2188,104.875,74074,188980,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104875,104.875,103.8125,0.5534750216649873,2516,,0.002,,1,rates
25/08/1994,104.8125,104.9375,104.2813,104.3125,76940,182524,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104313,104.3125,103.3125,0.547622442175015,2517,,0.002,,1,rates
26/08/1994,104.375,105.0625,104.3438,104.7188,87097,173349,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104719,104.7188,103.7188,0.540335857753059,2518,,0.002,,1,rates
29/08/1994,104.8125,105,104.625,104.6875,40887,170581,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104688,104.6875,103.6563,0.538161729879663,2519,,0.002,,1,rates
30/08/1994,104.8125,105.0625,104.7188,105,80762,159633,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105000,105,103.9688,0.5393926229322616,2520,,0.002,,1,rates
31/08/1994,104,104.2188,103.7813,104.2188,70042,136695,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104219,105.25,104.2188,0.5031974177932057,2521,,0.002,,1,rates
01/09/1994,104.1563,104.2188,103.9063,104.1875,59121,129953,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104188,105.25,104.1875,0.4906522398200363,2522,,0.002,,1,rates
02/09/1994,104.3125,105.1563,104,104.1875,109037,146908,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104188,105.25,104.1875,0.4760367256564822,2523,,0.002,,1,rates
05/09/1994,104.3125,105.1563,104,104.0313,109037,146908,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104031,105.0938,104.0313,0.46784251670877847,2524,,0.002,,1,rates
