Date,Open,High,Low,Close
2014-03-07,95.47,105.22,93.86,104.48
2014-03-14,93.28,95.83,66.8,67.38
2014-04-04,96.53,104.96,96.37,101.14
2014-04-11,102.79,104.29,75.84,77.19
2014-04-18,67.4,68.22,66.09,66.81
2014-05-02,97.67,98.26,96.8,97.38
2014-05-09,103.35,103.53,92.86,93.29
2014-05-16,77.36,79.35,65.17,65.84
2014-06-06,94.18,103.07,93.2,102.66
2014-06-13,97.62,98.13,77.12,77.91
2014-07-04,93.6,102.91,93.35,100.44
2014-07-11,99.83,104.09,77.47,78.65
2014-08-01,94.11,94.33,92.46,92.33
2014-08-08,100.06,103.64,96.41,97.65
2014-08-15,93.49,93.62,62.78,63.05
2014-09-05,92.79,102.82,91.47,99.99
2014-09-12,102.78,104.57,62.25,63.82
2014-10-03,92.52,102.82,92.22,101.12
2014-10-10,102.44,104.23,82.8,85.82
2014-10-17,78.5,79.85,60.61,60.94
2014-11-07,99.3,103.99,98.88,100.83
2014-11-14,96.66,97.67,59.2,59.95
2014-12-05,99.89,100.79,97.19,100.59
2014-12-12,103.74,106.2,57.63,57.81
2015-01-02,53.87,54.02,52.44,53.27
2015-01-09,47.55,60.64,44.15,45.41
2015-01-16,45.38,47.1,41.17,41.85
2015-02-06,53.76,61.58,46.67,61.26
2015-02-13,56.87,57.95,39.84,39.94
2015-03-06,49.79,61.43,48.11,59.64
2015-03-13,56.87,57.95,40.07,41.08
2015-04-03,51.67,52.56,47.95,51.53
2015-04-10,59.3,59.94,45.29,46.75
2015-04-17,47.74,48.28,39.6,39.97
2015-05-01,52.61,52.73,49.68,50.04
2015-05-08,48.67,61.1,44.83,45.15
2015-05-15,45.65,46.94,45.12,45.2
2015-06-05,50.0,62.58,47.55,60.93
2015-06-12,56.42,55.34,44.11,44.29
2015-07-03,48.46,49.78,47.35,48.65
2015-07-10,51.95,61.31,43.7,47.81
2015-07-17,40.1,40.15,37.5,37.65
2015-08-07,49.18,60.83,48.2,51.65
2015-08-14,45.82,50.61,36.64,37.51
2015-09-04,49.43,53.99,47.72,50.79
2015-09-11,58.72,61.08,43.64,43.87
2015-09-18,37.86,38.99,36.87,37.16
2015-10-02,53.25,53.45,50.75,50.02
2015-10-09,51.81,62.22,43.35,45.92
2015-10-16,45.34,45.93,38.08,36.76
2015-11-06,51.95,61.91,48.93,60.77
2015-11-13,45.51,46.43,36.82,35.62
2015-12-04,48.88,52.52,46.24,47.05
2015-12-11,60.27,62.27,42.85,41.75
