date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2016-08-20,ndx,1.0,0.5958904109589042,1,0.0,0.0031461068756546,0.0,0.15559947128465554
2016-08-20,dax,1.0,0.5958904109589042,1,0.0,0.0090717875435526,0.0,0.288109483499071
2016-08-20,sx5e,1.0,0.5958904109589042,1,0.0,0.0230470774259556,0.0,0.3202494162836975
2016-08-27,spx,0.0,0.6003289473684214,1,0.0,-0.023931412214791,-0.0,0.16075008063192614
2016-08-27,ndx,0.0,0.6003289473684214,1,0.0,-0.0244230777245693,-0.0,0.0
2016-08-27,dax,0.0,0.6003289473684214,1,0.0,-0.0103315106394528,-0.0,0.0
2016-08-27,sx5e,0.0,0.6288659793814433,1,0.10648459767172394,-0.0086176105775163,-0.0009176427952384158,0.10648459767172394
2016-09-03,spx,1.0,0.6296296296296297,1,0.11447317528741395,0.0053341228775125,0.0006106139831620934,0.11447317528741395
2016-09-03,ndx,1.0,0.6218487394957983,1,0.12272372982975084,0.0291592082947065,0.0035785268008089906,0.12272372982975084
2016-09-03,dax,0.0,0.5947521865889213,1,0.0,-0.0281147857272562,-0.0,0.0
2016-09-03,sx5e,0.0,0.6218487394957983,1,0.09828844925619298,-0.0386315996331716,-0.0037970400202305505,0.008196148415530957
2016-09-10,spx,1.0,0.5956043956043956,1,0.0,0.0119345911479273,0.0,0.11447317528741395
2016-09-10,ndx,1.0,0.5956043956043956,1,0.0,0.0084806093751621,0.0,0.12272372982975084
2016-09-10,dax,1.0,0.5956043956043956,1,0.0,0.0341372320621398,0.0,0.0
2016-09-10,sx5e,1.0,0.6043956043956044,1,0.06524524330871118,0.0330670300655822,0.0021574664221253783,0.03304320594748181
2016-09-17,spx,1.0,0.5951661631419938,1,0.0,0.0016538164818056,0.0,0.0
2016-09-17,ndx,1.0,0.5951661631419938,1,0.0,0.0034555075109437,0.0,0.0
2016-09-17,dax,0.0,0.5951661631419938,1,0.0,-0.0109109181638791,-0.0,0.0
2016-09-17,sx5e,0.0,0.5951661631419938,1,0.0,-0.0099165322806705,-0.0,0.06524524330871118
2016-09-24,spx,0.0,0.6258992805755396,1,0.11269640080107356,-0.0067011949618821,-0.0007552005532703999,0.11269640080107356
2016-09-24,ndx,0.0,0.6258992805755396,1,0.10781040177662905,-0.002293004081465,-0.0002472096912981919,0.10781040177662905
2016-09-24,dax,0.0,0.7272727272727272,1,0.20213304457043205,-0.0019179870269488,-0.00038768855720375223,0.20213304457043205
2016-09-24,sx5e,0.0,0.7272727272727272,1,0.20372835886045143,-0.0005562513323383,-0.00011332417105122142,0.20372835886045143
2016-10-01,spx,0.0,0.5926470588235295,1,0.0,-0.0096390464958628,-0.0,0.11269640080107356
2016-10-01,ndx,0.0,0.5926470588235295,1,0.0,-0.0115201499839656,-0.0,0.10781040177662905
2016-10-01,dax,1.0,0.5926470588235295,1,0.0,0.0085331421828143,0.0,0.20213304457043205
2016-10-01,sx5e,1.0,0.5926470588235295,1,0.0,0.0082051076962044,0.0,0.20372835886045143
2016-10-08,spx,1.0,0.5920471281296023,1,0.0,0.00383501017356,0.0,0.0
2016-10-08,ndx,1.0,0.5920471281296023,1,0.0,0.009021561907297,0.0,0.0
2016-10-08,dax,1.0,0.5920471281296023,1,0.0,0.0123199733846988,0.0,0.0
2016-10-08,sx5e,1.0,0.5920471281296023,1,0.0,0.0173410595698122,0.0,0.0
2016-10-15,spx,0.0,0.5936343449296816,1,0.0,-0.0068887892544228,-0.0,0.0
2016-10-15,ndx,0.0,0.5936343449296816,1,0.0,-0.0095365488699178,-0.0,0.0
2016-10-15,dax,0.0,0.5936343449296816,1,0.0,-0.0013575171813684,-0.0,0.0
2016-10-15,sx5e,1.0,0.5936343449296816,1,0.0,0.0005166279466475,0.0,0.0
2016-10-22,spx,0.0,0.591642228739003,1,0.0,-0.019389487445977,-0.0,0.0
